Hot;Cold;Pressure;Temperature;time
0.000000;100.000000;4.094238;11.875000;1214926
0.500000;100.000000;4.115662;10.750000;1275079
1.000000;100.000000;4.107300;10.250000;1335213
1.500000;100.000000;4.119385;9.937500;1395279
2.000000;100.000000;4.114319;9.437500;1455312
2.500000;100.000000;4.077637;9.125000;1515395
3.000000;100.000000;4.133118;8.812500;1575500
3.500000;100.000000;4.120239;8.687500;1635561
4.000000;100.000000;4.101318;8.625000;1695708
4.500000;100.000000;4.113342;8.562500;1755736
5.000000;100.000000;4.138489;8.562500;1815880
5.500000;100.000000;4.077576;8.562500;1876052
6.000000;100.000000;4.120361;8.562500;1936140
6.500000;100.000000;4.078491;8.562500;1996271
7.000000;100.000000;4.130920;8.562500;2056455
7.500000;100.000000;4.177185;8.562500;2116586
8.000000;100.000000;4.187134;8.562500;2176750
8.500000;100.000000;4.126648;8.500000;2236827
9.000000;100.000000;4.222717;8.562500;2296954
9.500000;100.000000;4.291443;8.500000;2357056
10.000000;100.000000;4.315552;8.500000;2417087
10.500000;100.000000;4.302490;8.500000;2477176
11.000000;100.000000;4.342468;8.500000;2537249
11.500000;100.000000;4.343140;8.562500;2597321
12.000000;100.000000;4.323730;8.500000;2657454
12.500000;100.000000;4.307434;8.562500;2717468
13.000000;100.000000;4.265808;8.562500;2777508
13.500000;100.000000;4.355103;8.562500;2837655
14.000000;100.000000;4.340637;8.562500;2897864
14.500000;100.000000;4.327942;8.562500;2957998
15.000000;100.000000;4.295959;8.500000;3018029
15.500000;100.000000;4.362183;8.500000;3078102
16.000000;100.000000;4.348816;8.562500;3138162
16.500000;100.000000;4.354431;8.562500;3198187
17.000000;100.000000;4.351318;8.937500;3258367
17.500000;100.000000;4.328430;10.000000;3318536
18.000000;100.000000;4.354797;11.625000;3378645
18.500000;100.000000;4.363098;13.562500;3438835
19.000000;100.000000;4.358521;15.812500;3499025
19.500000;100.000000;4.358582;17.500000;3559190
20.000000;100.000000;4.346191;20.500000;3619407
20.500000;100.000000;4.352844;21.937500;3679585
21.000000;100.000000;4.358765;25.875000;3739747
21.500000;100.000000;4.360474;27.000000;3799997
22.000000;100.000000;4.360840;29.312500;3860188
22.500000;100.000000;4.296692;30.812500;3920392
23.000000;100.000000;4.357910;34.375000;3980437
23.500000;100.000000;4.342407;34.687500;4040608
24.000000;100.000000;4.381836;35.687500;4100742
24.500000;100.000000;4.362732;38.625000;4160920
25.000000;100.000000;4.396240;38.750000;4221002
25.500000;100.000000;4.388428;39.000000;4281139
26.000000;100.000000;4.407532;39.687500;4341291
26.500000;100.000000;4.361145;40.937500;4401387
27.000000;100.000000;4.408325;41.937500;4461505
27.500000;100.000000;4.402649;43.437500;4521648
28.000000;100.000000;4.403809;45.500000;4581708
28.500000;100.000000;4.398254;47.062500;4641756
29.000000;100.000000;4.393250;48.625000;4701890
29.500000;100.000000;4.398987;49.625000;4761988
30.000000;100.000000;4.394653;51.375000;4822111
30.500000;100.000000;4.343140;52.812500;4882282
31.000000;100.000000;4.345947;54.000000;4942381
31.500000;100.000000;4.329834;54.125000;5002532
32.000000;100.000000;4.359436;56.562500;5062698
32.500000;100.000000;4.403625;56.812500;5122910
33.000000;100.000000;4.399475;58.125000;5183020
33.500000;100.000000;4.410706;60.250000;5243159
34.000000;100.000000;4.369507;59.875000;5303358
34.500000;100.000000;4.387817;60.250000;5363492
35.000000;100.000000;4.413513;61.187500;5423579
35.500000;100.000000;4.389465;60.375000;5483680
36.000000;100.000000;4.386475;60.812500;5543812
36.500000;100.000000;4.279419;62.812500;5603953
37.000000;100.000000;4.387329;63.687500;5664156
37.500000;100.000000;4.395691;64.875000;5724312
38.000000;100.000000;4.407898;65.437500;5784374
38.500000;100.000000;4.419189;66.687500;5844508
39.000000;100.000000;4.421509;67.250000;5904551
39.500000;100.000000;4.405701;68.312500;5964579
40.000000;100.000000;4.404907;68.812500;6024650
40.500000;100.000000;4.393799;69.062500;6084744
41.000000;100.000000;4.406738;69.875000;6144989
41.500000;100.000000;4.394226;70.375000;6205174
42.000000;100.000000;4.367798;71.625000;6265328
42.500000;100.000000;4.375793;71.875000;6325425
43.000000;100.000000;4.371643;71.750000;6385545
43.500000;100.000000;4.345581;72.125000;6445668
44.000000;100.000000;4.387024;73.062500;6505745
44.500000;100.000000;4.375427;71.312500;6565983
45.000000;100.000000;4.367493;71.187500;6626144
45.500000;100.000000;4.373901;72.812500;6686284
46.000000;100.000000;4.367065;73.500000;6746490
46.500000;100.000000;4.375671;74.062500;6806585
47.000000;100.000000;4.371460;74.937500;6866613
47.500000;100.000000;4.349487;74.250000;6926677
48.000000;100.000000;4.390381;76.937500;6986819
48.500000;100.000000;4.355774;77.187500;7046992
49.000000;100.000000;4.374756;76.687500;7107064
49.500000;100.000000;4.350464;76.687500;7167229
50.000000;100.000000;4.381042;76.875000;7227425
50.500000;100.000000;4.358032;75.750000;7287589
51.000000;100.000000;4.353027;76.312500;7347658
51.500000;100.000000;4.325989;75.812500;7407715
52.000000;100.000000;4.371521;76.812500;7467769
52.500000;100.000000;4.390442;78.187500;7527788
53.000000;100.000000;4.389648;77.500000;7587928
53.500000;100.000000;4.403015;77.312500;7648115
54.000000;100.000000;4.390625;77.437500;7708216
54.500000;100.000000;4.380554;77.687500;7768378
55.000000;100.000000;4.398193;77.750000;7828553
55.500000;100.000000;4.394104;78.125000;7888631
56.000000;100.000000;4.388550;78.187500;7948693
56.500000;100.000000;4.400391;78.000000;8008767
57.000000;100.000000;4.382568;78.312500;8068831
57.500000;100.000000;4.391113;78.250000;8128971
58.000000;100.000000;4.398682;78.000000;8189158
58.500000;100.000000;4.396729;78.375000;8249386
59.000000;100.000000;4.379150;78.750000;8309607
59.500000;100.000000;4.383118;78.875000;8369814
60.000000;100.000000;4.384827;78.875000;8429939
60.500000;100.000000;4.413757;78.937500;8490146
61.000000;100.000000;4.421143;78.937500;8550250
61.500000;100.000000;4.407837;78.937500;8610462
62.000000;100.000000;4.424988;79.000000;8670537
62.500000;100.000000;4.421936;78.937500;8730710
63.000000;100.000000;4.388184;78.937500;8790805
63.500000;100.000000;4.383118;78.937500;8850870
64.000000;100.000000;4.370117;78.875000;8910907
64.500000;100.000000;4.382507;78.875000;8971079
65.000000;100.000000;4.376221;78.812500;9031112
65.500000;100.000000;4.383179;78.812500;9091314
66.000000;100.000000;4.388672;78.812500;9151338
66.500000;100.000000;4.406067;72.500000;9211525
67.000000;100.000000;4.380920;77.750000;9271744
67.500000;100.000000;4.409912;77.562500;9331862
68.000000;100.000000;4.377197;78.500000;9391904
68.500000;100.000000;4.391296;77.312500;9451959
69.000000;100.000000;4.416931;76.562500;9512203
69.500000;100.000000;4.413269;78.625000;9572407
70.000000;100.000000;4.349731;78.750000;9632450
70.500000;100.000000;4.388306;78.812500;9692661
71.000000;100.000000;4.362183;78.812500;9752720
71.500000;100.000000;4.359985;78.750000;9812933
72.000000;100.000000;4.395874;78.812500;9873047
72.500000;100.000000;4.402161;78.875000;9933170
73.000000;100.000000;4.384094;78.875000;9993199
73.500000;100.000000;4.389832;78.937500;10053225
74.000000;100.000000;4.392883;78.937500;10113386
74.500000;100.000000;4.380432;79.000000;10173600
75.000000;100.000000;4.391785;79.000000;10233676
75.500000;100.000000;4.330627;79.000000;10293869
76.000000;100.000000;4.380981;79.000000;10353967
76.500000;100.000000;4.386780;79.000000;10414119
77.000000;100.000000;4.393372;79.000000;10474233
77.500000;100.000000;4.419495;79.000000;10534294
78.000000;100.000000;4.417358;79.000000;10594492
78.500000;100.000000;4.409058;79.000000;10654620
79.000000;100.000000;4.416321;79.000000;10714715
79.500000;100.000000;4.404358;79.000000;10774884
80.000000;100.000000;4.389404;79.000000;10834945
80.500000;100.000000;4.357239;79.062500;10895152
81.000000;100.000000;4.373596;79.062500;10955260
81.500000;100.000000;4.378235;79.062500;11015349
82.000000;100.000000;4.512390;79.062500;11075435
82.500000;100.000000;4.522888;79.000000;11135653
83.000000;100.000000;4.508789;79.000000;11195859
83.500000;100.000000;4.500854;79.000000;11255934
84.000000;100.000000;4.498901;79.000000;11316181
84.500000;100.000000;4.515564;79.000000;11376260
85.000000;100.000000;4.507935;78.937500;11436462
85.500000;100.000000;4.507507;78.937500;11496518
86.000000;100.000000;4.503540;78.937500;11556543
86.500000;100.000000;4.502991;78.937500;11616580
87.000000;100.000000;4.504211;78.937500;11676630
87.500000;100.000000;4.517456;78.937500;11736674
88.000000;100.000000;4.506775;78.875000;11796754
88.500000;100.000000;4.507019;78.875000;11856808
89.000000;100.000000;4.494995;78.875000;11916904
89.500000;100.000000;4.466797;78.875000;11976987
90.000000;100.000000;4.498657;78.812500;12037059
90.500000;100.000000;4.514526;78.875000;12097116
91.000000;100.000000;4.501282;78.875000;12157204
91.500000;100.000000;4.514099;78.875000;12217339
92.000000;100.000000;4.496582;78.875000;12277493
92.500000;100.000000;4.514282;78.875000;12337663
93.000000;100.000000;4.510498;78.875000;12397808
93.500000;100.000000;4.499695;78.875000;12457913
94.000000;100.000000;4.455322;78.937500;12518043
94.500000;100.000000;4.496521;78.937500;12578064
95.000000;100.000000;4.502014;78.937500;12638105
95.500000;100.000000;4.495728;78.937500;12698175
96.000000;100.000000;4.509583;78.937500;12758381
96.500000;100.000000;4.492981;79.000000;12818461
97.000000;100.000000;4.506165;79.000000;12878526
97.500000;100.000000;4.522522;79.000000;12938698
98.000000;100.000000;4.502197;79.000000;12998769
98.500000;100.000000;4.485840;78.937500;13058972
99.000000;100.000000;4.501953;78.937500;13119050
99.500000;100.000000;4.501099;78.937500;13179275
100.000000;100.000000;4.500427;78.812500;13239371
